
3 ; 12 ; 10 ; 62700 ; 83600
4 ; 12 ; 23 ; 6800 ; 60000
6 ; 48 ; 91 ; 7300 ; 90800
8 ; 144 ; 332 ; 8400 ; 281800
10 ; 288 ; 901 ; 9800 ; 724200
12 ; 1632 ; 5261 ; 11000 ; 4129000
14 ; 768 ; 6452 ; 15900 ; 4850900
16 ; 7392 ; 45051 ; 15300 ; 34243900
18 ; 3072 ; 92416 ; 16100 ; 23946600
20 ; 37248 ; 351603 ; 7600 ; 51460400
